"compound"	"label"	"case"	"pos"	"head.word"	"head.pos"	"sentence"	"citat"	"text"	"cpdID"	"pos1"	"pos2"	"lemma1"	"lemma2"	"intLabel"	"cpdType"	"endoExo"	"lemma1id"	"lemma2id"	"occID1"	"occID2"	"time.slot"	"veda"	"sakha"	"group"	"register"
"prathama-sāmpātikeṣu"	"acl"	"Loc"	"ADJ"	"ahaḥsu"	"NOUN"	"aikāhikā hotrāḥ sarvatra prathamasāmpātikeṣv ahaḥsv ekāhībhavatsu //"	"ĀśvŚS, 9, 2, 5"	"Āśvālāyanaśrautasūtra"	6128	"ADJ"	"ADJ"	"prathama"	"sāmpātika"	"nmod"	"subord"	"endo"	140448	112809	5424635	5424636	"5-SU"	"RV"	"Āśvalāyana"	"ŚS"	"prose"
"prathama-uttamayoḥ"	"nmod"	"Gen"	"ADJ"	"sthāne"	"NOUN"	"prathamottamayoḥ sthāne vāravantīyayajñāyajñīye iti lāmakāyanaḥ //"	"DrāhŚS, 12, 1, 36"	"Drāhyāyaṇaśrautasūtra"	7894	"ADJ"	"ADJ"	"prathama"	"uttama"	"compound"	"coord"	"endo"	140448	55629	5446065	5446066	"5-SU"	"SV"	"Rāṇāyanīya"	"ŚS"	"prose"
"pratyak-udīcīḥ"	"conj"	"Nom"	"ADJ"	"udīcīḥ"	"ADJ"	"navaṃ navāvasānaṃ samaṃ samūlaṃ samavasrāvaṃ samavasrutya vā yasmāt prāgudīcīr āpo nirdraveyuḥ pratyagudīcīr vā tasmin prāgdvāraṃ dakṣiṇadvāraṃ vā śaraṇaṃ kārayet //"	"KāṭhGS, 11, 1"	"Kāṭhakagṛhyasūtra"	1846	"ADJ"	"ADJ"	"pratyañc"	"udañc"	"compound"	"coord"	"endo"	166384	166381	5359308	5359309	"5-SU"	"Black YV"	"Kaṭha"	"GS"	"prose"
"pratyak-udīcīm"	"obl"	"Acc"	"ADJ"	"pravarteta"	"VERB"	"yatrodakaṃ pratyagudīcīṃ pravarteta //"	"KhādGS, 4, 2, 7"	"Khādiragṛhyasūtra"	1033	"ADJ"	"ADJ"	"pratyañc"	"udañc"	"compound"	"coord"	"endo"	166384	166381	4999356	4999357	"5-SU"	"SV"	"Rāṇāyanīya"	"GS"	"prose"
"puru-priyam"	"acl"	"Acc"	"ADJ"	"atithim"	"NOUN"	"viśo viśo vo atithiṃ vājayantaḥ purupriyam /"	"ṚV, 8, 74, 1"	"Ṛgveda"	3698	"ADJ"	"ADJ"	"puru"	"priya"	"iobj"	"subord"	"endo"	144623	153185	4738179	4738180	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"puru-priyaḥ"	"conj"	"Nom"	"ADJ"	"purīṣyaḥ"	"ADJ"	"purīṣyaḥ purupriyo 'gne tvaṃ tarā mṛdhaḥ //"	"VSM, 11, 72"	"Vājasaneyisaṃhitā (Mādhyandina)"	6834	"ADJ"	"ADJ"	"puru"	"priya"	"iobj"	"subord"	"endo"	144623	153185	5094596	5094597	"2-MA"	"White YV"	"Mādhyandina"	"S"	"metrical"
"puru-priyam"	"acl"	"Acc"	"ADJ"	"agnim"	"NOUN"	"saparyantaḥ purupriyam mitraṃ na kṣetrasādhasam //"	"ṚV, 8, 31, 14"	"Ṛgveda"	3668	"ADJ"	"ADJ"	"puru"	"priya"	"obl"	"subord"	"endo"	144623	153185	4727239	4727240	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"rakta-kṛṣṇam"	"acl"	"Acc"	"ADJ"	"pratisaram"	"NOUN"	"raktakṛṣṇam āvikaṃ kṣaumaṃ vā trimaṇiṃ pratisaraṃ jñātayo 'syā badhnanti nīlalohitam iti //"	"ŚāṅkhGS, 1, 12, 8"	"Śāṅkhāyanagṛhyasūtra"	1536	"ADJ"	"ADJ"	"rakta"	"kṛṣṇa"	"compound"	"coord"	"endo"	65578	4072	2465446	2465447	"5-SU"	"RV"	"Śāṅkhāyana"	"GS"	"prose"
"śaṃbhu-mayobhubhyām"	"obl"	"Ins"	"ADJ"	"marjayanti"	"VERB"	"śaṃbhumayobhubhyāṃ cātvāle marjayanti //"	"VaitS, 2, 6, 19"	"Vaitānasūtra"	6975	"ADJ"	"ADJ"	"śambhu"	"mayobhu"	"compound"	"coord"	"endo"	116750	218787	5234270	5234271	"5-SU"	"AV"	"Śaunaka"	"ŚS"	"prose"
"sarva-āgneyam"	"xcomp"	"Acc"	"ADJ"	"kurvanti"	"VERB"	"sarvāgneyaṃ haike kurvanti //"	"KauṣB, 1, 5, 20"	"Kauṣītakibrāhmaṇa"	6623	"ADJ"	"ADJ"	"sarva"	"āgneya"	"det"	"attrib"	"endo"	104444	62121	4972727	4972728	"4-PL"	"RV"	"Śāṅkhāyana"	"B"	"prose"
